date,open,high,low,close,volume,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,target_5day_return
2000-01-03,1.6148,1.6397,1.6146,1.6359,0,-0.021099999999999897,1.6271499999999999,0.0250999999999999,1.6262500000000002,1.6359,1.6359,1.6359,1.6359,1.6359,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0006112843083319053
2000-01-04,1.6359,1.6413,1.6317,1.6373,0,-0.0014000000000000679,1.6364999999999998,0.009600000000000053,1.63655,1.6361545454545454,1.6360333333333332,1.6359549019607842,1.635927722772277,1.6359139303482586,0.00011168091168078931,2.233618233615786e-05,8.934472934463145e-05,,,,,,,,,,,,,,,0.005802235387528221
2000-01-05,1.6373,1.6452,1.6352,1.6419,0,-0.0045999999999999375,1.6402,0.010000000000000009,1.6399,1.6371991735537188,1.6365920634920634,1.6361880430603613,1.6360459856876775,1.6359734932303656,0.0005648590514684138,0.00013084075616260905,0.0004340182953058047,,,,,,,,,,,,,,,0.00322796759851407
2000-01-06,1.6419,1.651,1.6412,1.6478,0,-0.005900000000000016,1.6461000000000001,0.009800000000000031,1.6454749999999998,1.6391265965439517,1.637659486016629,1.6366434139207393,1.6362787384463373,1.6360911699146405,0.00138413128006043,0.00038149886094217326,0.0010026324191182566,,,,,,,,,,,,,,,-0.0005461827891733995
2000-01-07,1.6478,1.6499,1.6361,1.6389,0,0.008899999999999908,1.643,0.013799999999999812,1.6431749999999998,1.6390853971723238,1.6377776302055214,1.636731907492475,1.6363306446157169,1.636119118472704,0.0013002661454240005,0.0005652523178385387,0.0007350138275854618,,,,,,,,,,,,,,,-0.002623711025687925
2000-01-10,1.6389,1.6401,1.6336,1.6369,0,0.0020000000000000018,1.63685,0.00649999999999995,1.637375,1.6386880522319012,1.637694046376424,1.6367384993555152,1.6363419189797621,1.63612688843815,0.001060197836002974,0.0006642414214714258,0.00039595641453154824,,,,,,,,,,,,,,,-0.00207709695155478
2000-01-11,1.6369,1.6492,1.635,1.6468,0,-0.00990000000000002,1.6421000000000001,0.01419999999999999,1.641975,1.640162951826101,1.63856128005486,1.6371330680082403,1.6365490096930342,1.6362330885531933,0.0016497716923142836,0.0008613474756399974,0.0007884242166742862,,,,,,,,,,,,,,,-0.004918630070439689
2000-01-12,1.6468,1.6509,1.6455,1.6472,0,-0.00039999999999995595,1.6482,0.005400000000000071,1.6476,1.641442415130446,1.6393840152877304,1.637527849654976,1.6367599203921819,1.6363422120501765,0.0021247965462067864,0.0011140372897533552,0.0010107592564534312,,,,,,,,,,,,,,,-0.001699854298202963
2000-01-13,1.6472,1.65,1.6412,1.6469,0,0.00029999999999996696,1.6456,0.008799999999999919,1.646325,1.6424347032885467,1.6400998233555657,1.637895384962624,1.6369607140477822,1.6364472646665926,0.002448821186194383,0.0013809940690415609,0.0010678271171528223,,,,,,,,,,,,,,,0.004554010565304578
2000-01-14,1.6469,1.648,1.6314,1.6346,0,0.012299999999999978,1.6397,0.016599999999999948,1.640225,1.6410102117815382,1.6395760306550358,1.6377661541797761,1.6369139672349546,1.6364288839236416,0.001693583269532839,0.0014435119091398166,0.00025007136039302243,,,,,,,,,,,,,,,0.0073412455646642005
