date,open,high,low,close,volume,simple_return,log_return,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr
2000-02-25,0.99151,0.99261,0.97261,0.97411,0,-0.0175489909330213,-0.0177048000270085,0.0120999999999998,0.99656,0.0153,0.99706,0.9919056144990464,0.9922458278696,1.0015800838262727,1.01017887759846,1.0164531453362158,-0.0025950252913612,-0.0055560619198464,0.0029610366284852,31.78382429373745,29.75420439844751,14.424320827943117,55.46975546975541,47.46268656716429,73.40196118965216,39.9868719096534,-52.53731343283571,0.98556,1.0030413584923157,0.9680786415076844,0.0349627169846311,0.6701812820386753,0.0110428571428571
2000-02-28,0.97411,0.97471,0.93911,0.97091,0,-0.0032850499430249,-0.0032904575657104,0.0173999999999999,0.98261,0.02,0.98271,0.9886700482264924,0.9905186061677336,1.0005028256370072,1.0094646423984903,1.0160318205069998,-0.0037874619654384,-0.0052023419289648,0.0014148799635263,30.286294640405973,27.57793764988001,23.14148681055157,45.99786552828178,4.109589041096049,45.131935006674944,-27.622322746498423,-95.89041095890394,0.985395,1.0032583732890283,0.9675316267109718,0.0357267465780565,0.1841302082924246,0.0119142857142857
2000-02-29,0.97091,0.99011,0.96281,0.96361,0,-0.0075187195517607,-0.0075471276079933,0.0031999999999999,0.95691,0.0355999999999999,0.96471,0.9854409485489484,0.9886511198660446,0.99934232267085,1.008701184133174,1.0155828471686217,-0.0049338159184568,-0.0051486367268632,0.0002148208084063,31.31312740531322,19.957761351636695,38.067581837381184,42.27467811158802,45.42857142857154,32.333615678943964,-118.58405584005168,-54.57142857142847,0.98538,1.003293958097999,0.9674660419020016,0.0358279161959974,0.0961249903331894,0.0135285714285714
2000-03-01,0.96361,0.97691,0.96291,0.97301,0,0.0097549838627661,0.0097077111885124,0.0073,0.97646,0.0272999999999999,0.97186,0.9814716851764124,0.9862662513073736,0.9979410551151304,1.0078082893978637,1.015065704410725,-0.0063580668398423,-0.005390522749459,-0.0009675440903832,31.889313916553824,23.41463414634145,35.170731707317046,33.07776560788612,34.99999999999998,28.17938682322252,-71.93701643732182,-65.00000000000003,0.98499,1.0044568517174577,0.9655231482825424,0.0389337034349153,-0.0491386154862092,0.0146428571428571
2000-03-02,0.97301,0.97961,0.96141,0.96291,0,-0.0103801605327796,-0.0104344101387492,-0.0094,0.96991,0.0139999999999999,0.96911,0.9799331969625192,0.985003751182862,0.996963366679243,1.007119214360282,1.0146472396902204,-0.0066516187943197,-0.0056427419584311,-0.0010088768358885,32.67837907232162,23.300970873786408,34.12621359223299,43.2786885245902,48.42857142857152,42.95238095238102,-84.14456752825335,-51.57142857142848,0.98479,1.0046796534859077,0.964900346514092,0.0397793069718156,0.2038661330036194,0.0147142857142857
2000-03-03,0.96291,0.96791,0.95681,0.95681,0,-0.0063349638076247,-0.0063551148399671,0.0100999999999999,0.97051,0.0181999999999999,0.969235,0.976838070242061,0.9828995844035416,0.995627940534959,1.0062437843729497,1.0141324412853423,-0.0076115057239608,-0.0060364947115371,-0.0015750110124237,32.88889828790747,23.592368543508638,30.618892508143297,37.87575150300605,34.000000000000085,39.1428571428572,-98.7892458064344,-65.99999999999991,0.983445,1.005432774114865,0.9614572258851348,0.04397554822973,0.0330359523268648,0.01535
2000-03-06,0.95681,0.96701,0.95611,0.95801,0,0.0012541674940687,0.0012533816829743,0.0060999999999999,0.96236,0.0110999999999999,0.96111,0.9731966029253226,0.980414862079395,0.9941056683571174,1.005264897553683,1.0135620687352398,-0.0087634227688482,-0.0065818803229993,-0.0021815424458488,33.75616144932964,22.26415094339628,33.207547169811264,38.92893923789912,25.285714285714374,35.904761904762,-136.05045498488323,-74.71428571428562,0.982135,1.0071459765376811,0.957124023462319,0.0500219530753621,-0.0062777129442706,0.0151428571428571
2000-03-07,0.95801,0.96221,0.95291,0.95831,0,0.0003131491320549,0.0003131001110991,-0.0011999999999999,0.96156,0.0109,0.959485,0.9704354023934458,0.9782810656908812,0.992690151950956,1.0043291570080657,1.0130093118324015,-0.0094703273166221,-0.0071595697217239,-0.0023107575948982,34.505199564353035,22.170032879286104,32.8792860497886,37.51317175974717,27.000000000000057,28.76190476190484,-130.48859220018372,-72.99999999999994,0.980955,1.0081975731066966,0.9537124268933036,0.0544851462133928,0.0788760498111674,0.0152071428571428
2000-03-08,0.95831,0.96321,0.95251,0.96161,0,0.0034435621041206,0.0034376466204718,-0.0002999999999999,0.95756,0.0092999999999999,0.95786,0.9682307837764556,0.9763790594346068,0.9913419106979774,1.0034178865722625,1.0124650400728754,-0.009892314329076,-0.0077061186431943,-0.0021861956858816,35.265238246628684,21.63551401869164,34.20560747663547,34.33001107419716,27.42857142857144,26.571428571428623,-132.3911141178462,-72.57142857142857,0.979605,1.0085609720228743,0.9506490279771254,0.0579119440457491,0.1322865627999404,0.0152857142857142
2000-03-09,0.96161,0.96971,0.96031,0.96741,0,0.0060315512525868,0.0060134342598784,-0.0032999999999999,0.95786,0.0107,0.95891,0.9670270049080092,0.9749724823455966,0.990175953415704,1.0025900076302374,1.0119590197736428,-0.0098469501442,-0.0081342849433954,-0.0017126652008045,33.83793553158174,18.43706130088913,34.25362657931675,35.54347826086956,32.14285714285711,28.857142857142872,-107.92362922180315,-67.85714285714289,0.97796,1.00708828251211,0.9488317174878902,0.0582565650242197,0.2193449357475385,0.0152642857142857
