date,open,high,low,close,volume,simple_return,log_return,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr
2000-01-03,1.00741,1.02861,1.00531,1.02451,0,,,-0.017100000000000115,1.01696,0.0233000000000001,1.01646,1.02451,1.02451,1.02451,1.02451,1.02451,0.0,0.0,0.0,,,,,,,,,,,,,,
2000-01-04,1.02451,1.03421,1.02181,1.03011,0,0.005466027662004214,0.005451143147613823,-0.005600000000000049,1.02801,0.012399999999999967,1.02766,1.0255281818181818,1.0250433333333333,1.0247296078431374,1.0246208910891088,1.024565721393035,0.0004467236467236013,8.934472934472027e-05,0.0003573789173788811,,,,,,,,,,,,,,
2000-01-05,1.03011,1.04041,1.02861,1.03261,0,0.0024269252798243546,0.0024239850528473563,-0.0024999999999999467,1.03451,0.011800000000000033,1.0329350000000002,1.026815785123967,1.0257639682539683,1.0250386428296812,1.024779091265562,1.0246457639662387,0.0009910601374987227,0.0002696878109755208,0.0007213723265232019,,,,,,,,,,,,,,
2000-01-06,1.03261,1.04151,1.02811,1.03301,0,0.00038736793174565243,0.00038729292415811084,-0.00039999999999995595,1.03481,0.013399999999999856,1.03381,1.0279420060105184,1.026454066515495,1.0253512450716544,1.024942079557333,1.0247289901954304,0.0014381492953712272,0.0005033801078546622,0.000934769187516565,,,,,,,,,,,,,,
2000-01-07,1.03301,1.03351,1.02561,1.02881,0,-0.004065788327315301,-0.004074076116568898,0.0041999999999999815,1.02956,0.007900000000000018,1.030235,1.028099823099515,1.026678441133067,1.025486882519825,1.0250186720413461,1.0247695972581625,0.0014370009228168446,0.0006901042708470986,0.0007468966519697459,,,,,,,,,,,,,,
2000-01-10,1.02881,1.03031,1.02141,1.02531,0,-0.0034019887053975406,-0.0034077886268876127,0.0035000000000000586,1.02586,0.00890000000000013,1.0264600000000002,1.0275925825359669,1.026548113406108,1.02547994595042,1.0250244409118145,1.0247749743998724,0.0011405228426351055,0.0007801879852047,0.00036033485743040545,,,,,,,,,,,,,,
2000-01-11,1.02531,1.03411,1.02481,1.03381,0,0.008290175654192433,0.008256000894599302,-0.008499999999999952,1.02946,0.009300000000000086,1.0295100000000001,1.0287230220748818,1.0272397216531453,1.0258066147366782,1.0251984123789073,1.0248648751521126,0.0015733047132320266,0.0009388113308101654,0.0006344933824218612,,,,,,,,,,,,,,
2000-01-12,1.03381,1.03701,1.02621,1.03101,0,-0.00270842804770699,-0.0027121024750661536,0.0027999999999999137,1.0316100000000001,0.01079999999999992,1.03201,1.029138836243085,1.0275987957814172,1.02601066906073,1.0253134933218992,1.024926020672987,0.0016710876065688662,0.0010852665859619056,0.0005858210206069606,,,,,,,,,,,,,,
2000-01-13,1.03101,1.03161,1.02361,1.02611,0,-0.0047526212160889925,-0.004763950831467598,0.004899999999999904,1.02761,0.008000000000000007,1.028085,1.0285881387443423,1.0274570057069965,1.0260145643916818,1.0253292657313664,1.0249378015618131,0.0013377712112452311,0.0011357675110185708,0.00020200370022666037,,,,,,,,,,,,,,
2000-01-14,1.02611,1.02751,1.01141,1.01301,0,-0.01276666244359781,-0.012848856591231077,0.013100000000000112,1.01946,0.016100000000000003,1.01951,1.0257557498817345,1.0260811004015682,1.025504581474361,1.0250853198752996,1.0248191169691583,1.636638629065601e-05,0.0009118872860729879,-0.0008955208997823319,,,,,,,,,,,,,,
2000-01-17,1.01301,1.01471,1.00701,1.01211,0,-0.0008884413776762967,-0.0008888362756301936,0.0008999999999999009,1.01086,0.00770000000000004,1.01171,1.0232747044486918,1.0247505194109428,1.024979303769484,1.0248283828480658,1.0246926580938434,-0.0010909036775488268,0.000511329093348625,-0.0016022327708974517,,,,,,,,,,,,,,
