date,open,high,low,close,volume
2003-08-03 16:00:00+00:00,0.65211,0.65217,0.65035,0.65167,82678.7
2003-08-03 20:00:00+00:00,0.65148,0.65181,0.65057,0.65108,156461.48
2003-08-04 00:00:00+00:00,0.65122,0.65172,0.64987,0.65046,17856.35
2003-08-04 04:00:00+00:00,0.65044,0.65203,0.65021,0.65182,23800.97
2003-08-04 08:00:00+00:00,0.65197,0.65212,0.64955,0.65021,45295.32
2003-08-04 12:00:00+00:00,0.6503,0.6508,0.64729,0.64772,21339.92
2003-08-04 16:00:00+00:00,0.64693,0.64748,0.64316,0.64479,11125.22
2003-08-04 20:00:00+00:00,0.64504,0.64727,0.64503,0.64624,13625.98
2003-08-05 00:00:00+00:00,0.64629,0.64781,0.64538,0.6472,15855.09
2003-08-05 04:00:00+00:00,0.64725,0.64752,0.64179,0.64189,21890.69
2003-08-05 08:00:00+00:00,0.64199,0.64321,0.64035,0.64135,40018.12
2003-08-05 12:00:00+00:00,0.64157,0.64583,0.6415,0.64513,19967.91
2003-08-05 16:00:00+00:00,0.64532,0.64628,0.64428,0.64491,11172.17
2003-08-05 20:00:00+00:00,0.64553,0.64847,0.64496,0.64659,13976.04
2003-08-06 00:00:00+00:00,0.64742,0.65014,0.64716,0.64917,14954.0
2003-08-06 04:00:00+00:00,0.64967,0.65053,0.64849,0.64904,20720.29
2003-08-06 08:00:00+00:00,0.64914,0.65019,0.64724,0.64784,37529.71
2003-08-06 12:00:00+00:00,0.64765,0.64858,0.64588,0.6459,20011.26
2003-08-06 16:00:00+00:00,0.64598,0.6482,0.64598,0.64793,9772.49
2003-08-06 20:00:00+00:00,0.64795,0.64812,0.64692,0.64757,11795.62
2003-08-07 00:00:00+00:00,0.64785,0.64842,0.64462,0.64515,16422.02
2003-08-07 04:00:00+00:00,0.64495,0.64712,0.64391,0.64624,24818.64
2003-08-07 08:00:00+00:00,0.64658,0.64908,0.64581,0.64818,40415.23
2003-08-07 12:00:00+00:00,0.64792,0.6513,0.647,0.65,22976.49
2003-08-07 16:00:00+00:00,0.64989,0.65106,0.64964,0.65003,10208.14
2003-08-07 20:00:00+00:00,0.64992,0.65176,0.64991,0.65032,11470.44
2003-08-08 00:00:00+00:00,0.65025,0.65081,0.64967,0.65044,16347.75
2003-08-08 04:00:00+00:00,0.65041,0.65239,0.6499,0.65123,22707.56
2003-08-08 08:00:00+00:00,0.65095,0.65139,0.64995,0.65062,40984.79
2003-08-08 12:00:00+00:00,0.65064,0.65326,0.64984,0.65297,20479.34
2003-08-08 16:00:00+00:00,0.65294,0.65347,0.65086,0.65201,10061.68
2003-08-08 20:00:00+00:00,0.65191,0.65305,0.65131,0.65142,3757.6
2003-08-10 16:00:00+00:00,0.65156,0.65242,0.65064,0.65132,23015.86
2003-08-10 20:00:00+00:00,0.65127,0.65251,0.65011,0.65102,59485.4
2003-08-11 00:00:00+00:00,0.65093,0.6532,0.64986,0.65271,17178.97
2003-08-11 04:00:00+00:00,0.65252,0.65495,0.65209,0.65384,22998.21
