date,open,high,low,close,volume,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,target_5day_return
2000-01-03,102.15,102.18,101.41,101.71,0,0.44000000000001194,101.795,0.7700000000000102,101.8625,101.71,101.71,101.71,101.71,101.71,0.0,0.0,0.0,,,,,,,,,,,,,,,0.034116606036771246
2000-01-04,101.71,103.31,101.47,103.18,0,-1.470000000000013,102.39,1.8400000000000034,102.4175,101.97727272727272,101.85,101.76764705882353,101.73910891089108,101.72462686567164,0.11726495726495045,0.023452991452990093,0.09381196581196036,,,,,,,,,,,,,,,0.027040124055049297
2000-01-05,103.18,104.41,102.82,104.16,0,-0.9799999999999898,103.615,1.5900000000000034,103.64249999999998,102.37413223140494,102.07,101.8614648212226,101.78704734829917,101.74885943417243,0.2859794969196656,0.0759582925463252,0.21002120437334043,,,,,,,,,,,,,,,0.015456989247311759
2000-01-06,104.16,105.59,103.99,105.25,0,-1.0900000000000034,104.78999999999999,1.6000000000000085,104.7475,102.8970172802404,102.37285714285713,101.99434855372367,101.85562066813483,101.78369665373292,0.5018557944050457,0.16113779291806932,0.3407180014869764,,,,,,,,,,,,,,,0.008646080760094987
2000-01-07,105.25,105.93,104.99,105.18,0,0.06999999999999318,105.46000000000001,0.9400000000000119,105.3375,103.31210504746942,102.64020408163265,102.11927606142078,101.92144996183512,101.81749071687986,0.6596864457750229,0.26084752348946005,0.39883892228556284,,,,,,,,,,,,,,,0.006465107434873385
2000-01-10,105.18,105.41,104.35,105.18,0,0.0,104.88,1.0600000000000023,105.03,103.65172231156588,102.88208940719144,102.23930445116899,101.98597570516512,101.85094852069201,0.7758251447597644,0.36384304774352094,0.41198209701624344,,,,,,,,,,,,,,,-0.0026621030614185637
2000-01-11,105.18,106.33,105.09,105.97,0,-0.789999999999992,105.71000000000001,1.2399999999999949,105.6425,104.07322734582662,103.17617613031607,102.38560623739767,102.06486727535986,101.89193410755081,0.9209956337676175,0.4752735649483403,0.44572206881927723,,,,,,,,,,,,,,,-0.0030197225629894353
2000-01-12,105.97,106.24,105.56,105.77,0,0.20000000000000284,105.9,0.6799999999999926,105.885,104.38173146476723,103.42320697504788,102.51832756142129,102.13823624020422,101.93052182787369,1.0082831036881004,0.5818754726962923,0.4264076309918081,,,,,,,,,,,,,,,-0.004065424978727306
2000-01-13,105.77,106.26,105.45,106.16,0,-0.39000000000000057,105.855,0.8100000000000023,105.91,104.70505301662772,103.68385392980522,102.66113824528712,102.21787512653681,101.97260618779535,1.0962914279427594,0.6847586637455857,0.41153276419717366,,,,,,,,,,,,,,,-0.006688018085908021
2000-01-14,106.16,106.4,105.46,105.86,0,0.29999999999999716,105.93,0.9400000000000119,105.97,104.91504337724085,103.89110593649045,102.78658380429547,102.28999641115985,102.01128672324018,1.1288188452027583,0.7735707000370202,0.3552481451657381,,,,,,,,,,,,,,,-0.006706971471755141
