date,open,high,low,close,volume
2025-05-12 00:00:00,1.12325,1.12355,1.10975,1.11047,87306
2025-05-12 04:00:00,1.11047,1.1145,1.10716,1.11109,109880
2025-05-12 08:00:00,1.11109,1.11343,1.11,1.11046,97782
2025-05-12 12:00:00,1.11046,1.11107,1.10651,1.10918,45498
2025-05-12 16:00:00,1.10918,1.10996,1.10819,1.10954,15801
2025-05-12 20:00:00,1.10954,1.11165,1.10946,1.11162,42357
2025-05-13 00:00:00,1.11162,1.11243,1.1101,1.11157,51474
2025-05-13 04:00:00,1.11157,1.11174,1.10967,1.11066,47559
2025-05-13 08:00:00,1.11066,1.11774,1.11063,1.11748,98027
2025-05-13 12:00:00,1.11748,1.11916,1.11643,1.11896,33899
2025-05-13 16:00:00,1.11919,1.11995,1.11882,1.11907,0
2025-05-13 20:00:00,1.11907,1.11995,1.11857,1.11982,0
2025-05-14 00:00:00,1.12032,1.12196,1.11857,1.12183,0
2025-05-14 04:00:00,1.12171,1.12676,1.12171,1.12196,0
2025-05-14 08:00:00,1.12221,1.12385,1.1202,1.1207,0
2025-05-14 12:00:00,1.12082,1.12145,1.11651,1.11672,877
2025-05-14 16:00:00,1.11672,1.11877,1.11642,1.11811,11896
2025-05-14 20:00:00,1.11811,1.1201,1.11755,1.11964,35377
2025-05-15 00:00:00,1.11964,1.1228,1.11849,1.11971,48641
2025-05-15 04:00:00,1.11971,1.12128,1.11788,1.11824,44731
2025-05-15 08:00:00,1.11824,1.12235,1.11725,1.11875,87565
2025-05-15 12:00:00,1.11875,1.11904,1.11698,1.11835,31627
2025-05-15 16:00:00,1.11835,1.11936,1.11787,1.11916,10371
2025-05-15 20:00:00,1.11916,1.12083,1.11902,1.12001,36421
2025-05-16 00:00:00,1.12001,1.12193,1.11959,1.12085,39831
2025-05-16 04:00:00,1.12085,1.12089,1.11878,1.1194,45960
2025-05-16 08:00:00,1.1194,1.12054,1.11396,1.11398,75166
2025-05-16 12:00:00,1.11398,1.11582,1.11307,1.11488,35922
2025-05-16 16:00:00,1.11488,1.11669,1.11443,1.11669,5902
2025-05-18 20:00:00,1.11883,1.11987,1.1172,1.11808,50142
2025-05-19 00:00:00,1.11808,1.12447,1.11759,1.12379,60439
2025-05-19 04:00:00,1.12379,1.1288,1.12354,1.12727,87726
2025-05-19 08:00:00,1.12727,1.12731,1.12331,1.12358,90442
2025-05-19 12:00:00,1.12358,1.12448,1.12238,1.12435,39251
2025-05-19 16:00:00,1.12435,1.12562,1.12347,1.1236,0
2025-05-19 20:00:00,1.12347,1.12524,1.12221,1.12486,0
2025-05-20 00:00:00,1.12499,1.12816,1.12448,1.12816,0
2025-05-20 04:00:00,1.1279,1.1279,1.12461,1.12499,0
2025-05-20 08:00:00,1.12486,1.12714,1.12284,1.12575,0
2025-05-20 12:00:00,1.12587,1.12841,1.12486,1.12801,3747
2025-05-20 16:00:00,1.12801,1.12898,1.12775,1.12879,11487
2025-05-20 20:00:00,1.12879,1.13395,1.12865,1.13338,46379
2025-05-21 00:00:00,1.13338,1.13527,1.13138,1.13229,65099
2025-05-21 04:00:00,1.13229,1.13618,1.13117,1.13229,65258
2025-05-21 08:00:00,1.13229,1.13539,1.1317,1.13423,87520
2025-05-21 12:00:00,1.13423,1.13624,1.13225,1.13225,54992
2025-05-21 16:00:00,1.13199,1.1334,1.13107,1.13317,13362
2025-05-21 20:00:00,1.13317,1.13447,1.1317,1.13327,58724
2025-05-22 00:00:00,1.13327,1.13417,1.12942,1.13201,68133
2025-05-22 04:00:00,1.13201,1.13345,1.12899,1.13084,82596
2025-05-22 08:00:00,1.13084,1.13145,1.12655,1.12801,106169
2025-05-22 12:00:00,1.12801,1.12875,1.12553,1.12784,43413
2025-05-22 16:00:00,1.12784,1.12888,1.12763,1.12817,9086
2025-05-22 20:00:00,1.12817,1.13186,1.12788,1.13111,33578
2025-05-23 00:00:00,1.13111,1.13438,1.13075,1.13391,46405
2025-05-23 04:00:00,1.13391,1.13753,1.12982,1.1321,91614
2025-05-23 08:00:00,1.1321,1.13593,1.1297,1.13489,122246
2025-05-23 12:00:00,1.13489,1.13689,1.13407,1.13632,38978
2025-05-23 16:00:00,1.13632,1.13688,1.13572,1.13688,5987
2025-05-25 20:00:00,1.13744,1.14185,1.13742,1.14111,49840
2025-05-26 00:00:00,1.14111,1.14181,1.13879,1.13887,47866
2025-05-26 04:00:00,1.13887,1.1395,1.13737,1.13768,36640
2025-05-26 08:00:00,1.13768,1.13849,1.13685,1.1381,29438
2025-05-26 12:00:00,1.1381,1.13882,1.13757,1.13882,6818
2025-05-26 16:00:00,1.13869,1.13941,1.13805,1.13881,8423
2025-05-26 20:00:00,1.13881,1.1407,1.13875,1.13934,32643
2025-05-27 00:00:00,1.13934,1.13975,1.13367,1.13404,65848
2025-05-27 04:00:00,1.13404,1.13576,1.13384,1.13507,61283
2025-05-27 08:00:00,1.13507,1.13753,1.13229,1.13251,79005
2025-05-27 12:00:00,1.13251,1.13385,1.13232,1.13305,33870
2025-05-27 16:00:00,1.13305,1.13378,1.13248,1.13365,10114
2025-05-27 20:00:00,1.13365,1.13448,1.13001,1.1307,44878
2025-05-28 00:00:00,1.1307,1.13308,1.12951,1.13264,49174
2025-05-28 04:00:00,1.13264,1.13404,1.13162,1.13173,54756
2025-05-28 08:00:00,1.13173,1.13243,1.12833,1.12843,94141
2025-05-28 12:00:00,1.12843,1.13005,1.12839,1.12943,36595
2025-05-28 16:00:00,1.12943,1.12982,1.12101,1.12295,36684
