date,open,high,low,close,volume
2010-02-12 14:00:00+00:00,90.26,90.296,89.85,89.93,8780
2010-02-14 14:00:00+00:00,89.98,90.234,89.916,90.0,11748
2010-02-15 14:00:00+00:00,89.998,90.096,89.709,90.003,15969
2010-02-16 14:00:00+00:00,90.006,91.028,90.002,90.932,26210
2010-02-17 14:00:00+00:00,90.934,91.386,90.568,90.684,28964
2010-02-18 14:00:00+00:00,90.686,92.098,90.626,91.812,36982
2010-02-19 14:00:00+00:00,91.814,92.142,91.491,91.519,8520
2010-02-21 14:00:00+00:00,91.53,91.904,91.172,91.304,17118
2010-02-22 14:00:00+00:00,91.308,91.48,90.566,90.716,23823
2010-02-23 14:00:00+00:00,90.718,90.836,89.928,90.228,25870
2010-02-24 14:00:00+00:00,90.224,90.322,89.056,89.137,33371
2010-02-25 14:00:00+00:00,89.134,89.503,88.805,89.196,29250
2010-02-26 14:00:00+00:00,89.194,89.254,88.746,88.946,9511
2010-02-28 14:00:00+00:00,88.891,89.372,88.735,89.252,17296
2010-03-01 14:00:00+00:00,89.248,89.48,88.894,89.176,23558
2010-03-02 14:00:00+00:00,89.178,89.206,88.472,88.736,27111
2010-03-03 14:00:00+00:00,88.738,88.874,88.14,88.798,27127
2010-03-04 14:00:00+00:00,88.8,90.282,88.8,90.146,26843
2010-03-05 14:00:00+00:00,90.144,90.591,89.987,90.225,9730
2010-03-07 14:00:00+00:00,90.305,90.683,90.152,90.3,17453
2010-03-08 14:00:00+00:00,90.302,90.49,89.634,89.766,24257
2010-03-09 14:00:00+00:00,89.764,90.513,89.758,90.395,19136
2010-03-10 14:00:00+00:00,90.393,90.82,90.208,90.511,22403
2010-03-11 14:00:00+00:00,90.513,90.977,90.174,90.947,23242
2010-03-12 14:00:00+00:00,90.95,91.086,90.288,90.56,9101
2010-03-14 13:00:00+00:00,90.636,90.961,90.55,90.694,12931
2010-03-15 13:00:00+00:00,90.697,90.762,89.983,90.48,22715
2010-03-16 13:00:00+00:00,90.478,90.714,90.03,90.578,29338
2010-03-17 13:00:00+00:00,90.58,90.594,89.76,90.242,27280
2010-03-18 13:00:00+00:00,90.244,90.808,90.162,90.68,21751
2010-03-19 13:00:00+00:00,90.676,90.682,90.336,90.563,6330
2010-03-21 13:00:00+00:00,90.542,90.77,90.329,90.464,9034
2010-03-22 13:00:00+00:00,90.466,90.468,89.824,90.31,21160
2010-03-23 13:00:00+00:00,90.312,91.964,90.19,91.814,25730
2010-03-24 13:00:00+00:00,91.816,92.409,91.702,92.16,32611
2010-03-25 13:00:00+00:00,92.164,92.954,92.16,92.776,30715
2010-03-26 13:00:00+00:00,92.772,92.892,92.388,92.52,8468
2010-03-28 13:00:00+00:00,92.541,92.784,92.065,92.522,18159
2010-03-29 13:00:00+00:00,92.524,92.724,92.126,92.606,24698
2010-03-30 13:00:00+00:00,92.603,93.602,92.603,93.096,35651
2010-03-31 13:00:00+00:00,93.098,93.89,92.87,93.682,28771
2010-04-01 13:00:00+00:00,93.678,94.56,93.607,94.478,22024
2010-04-02 13:00:00+00:00,94.475,94.694,94.346,94.61,5767
2010-04-04 13:00:00+00:00,94.61,94.787,94.318,94.444,9568
2010-04-05 13:00:00+00:00,94.442,94.516,93.778,93.866,25373
2010-04-06 13:00:00+00:00,93.868,94.266,93.49,93.682,26106
2010-04-07 13:00:00+00:00,93.68,93.852,92.834,93.077,28499
2010-04-08 13:00:00+00:00,93.079,93.793,92.894,93.446,23174
2010-04-09 13:00:00+00:00,93.448,93.61,93.115,93.185,6830
2010-04-11 13:00:00+00:00,93.181,93.604,92.902,93.334,19687
2010-04-12 13:00:00+00:00,93.332,93.414,92.571,92.71,26732
2010-04-13 13:00:00+00:00,92.706,93.726,92.626,93.414,23112
2010-04-14 13:00:00+00:00,93.412,93.66,92.83,93.247,26339
2010-04-15 13:00:00+00:00,93.245,93.468,92.506,92.662,28473
2010-04-16 13:00:00+00:00,92.658,92.736,91.906,92.176,14969
2010-04-18 13:00:00+00:00,92.133,92.214,91.596,92.154,20331
2010-04-19 13:00:00+00:00,92.152,92.968,92.058,92.918,25105
2010-04-20 13:00:00+00:00,92.914,93.41,92.902,93.122,25206
2010-04-21 13:00:00+00:00,93.12,93.444,92.742,93.17,28394
2010-04-22 13:00:00+00:00,93.168,94.232,92.805,94.096,32140
2010-04-23 13:00:00+00:00,94.098,94.331,93.912,93.973,9463
2010-04-25 13:00:00+00:00,94.025,94.358,93.877,94.182,17673
2010-04-26 13:00:00+00:00,94.18,94.3,93.458,93.578,26763
2010-04-27 13:00:00+00:00,93.574,94.176,92.82,94.144,41750
2010-04-28 13:00:00+00:00,94.146,94.322,93.848,94.032,27321
2010-04-29 13:00:00+00:00,94.034,94.582,93.9,94.34,23627
2010-04-30 13:00:00+00:00,94.338,94.35,93.835,93.835,13687
2010-05-02 13:00:00+00:00,93.834,94.582,93.59,94.54,11920
2010-05-03 13:00:00+00:00,94.538,94.986,94.406,94.478,22348
2010-05-04 13:00:00+00:00,94.474,94.986,94.328,94.754,34051
2010-05-05 13:00:00+00:00,94.758,94.788,93.3,93.637,48857
2010-05-06 13:00:00+00:00,93.639,93.787,88.01,92.512,143240
2010-05-07 13:00:00+00:00,92.514,92.566,90.838,91.525,43127
2010-05-09 13:00:00+00:00,91.525,93.541,91.425,93.098,53442
2010-05-10 13:00:00+00:00,93.102,93.515,92.216,92.458,54796
2010-05-11 13:00:00+00:00,92.46,93.258,92.452,93.182,47362
