date,open,high,low,close,volume
2025-08-10 18:00:00,1.3435,1.34501,1.3435,1.34422,3427
2025-08-10 19:00:00,1.34422,1.34473,1.34408,1.34432,2846
2025-08-10 20:00:00,1.34432,1.34449,1.34364,1.34425,8188
2025-08-10 21:00:00,1.34425,1.34512,1.34406,1.34512,8355
2025-08-10 22:00:00,1.34512,1.34588,1.34512,1.34553,7518
2025-08-10 23:00:00,1.34553,1.3466,1.34543,1.34654,5864
2025-08-11 00:00:00,1.34654,1.34681,1.34634,1.34665,4436
2025-08-11 01:00:00,1.34665,1.34692,1.34633,1.34681,6126
2025-08-11 02:00:00,1.34681,1.34766,1.34648,1.34683,10104
2025-08-11 03:00:00,1.34683,1.34684,1.34478,1.34535,14811
2025-08-11 04:00:00,1.34535,1.34666,1.34519,1.34646,11625
2025-08-11 05:00:00,1.34646,1.34693,1.34467,1.34534,10129
2025-08-11 06:00:00,1.34534,1.34586,1.3445,1.3446,8315
2025-08-11 07:00:00,1.3446,1.34473,1.34247,1.343,13434
2025-08-11 08:00:00,1.343,1.34326,1.3412,1.3423,14340
2025-08-11 09:00:00,1.3423,1.34265,1.34193,1.34209,14048
2025-08-11 10:00:00,1.34209,1.34217,1.33993,1.3407,18359
2025-08-11 11:00:00,1.3407,1.34164,1.34021,1.34145,12730
2025-08-11 12:00:00,1.34145,1.34259,1.34145,1.34248,10136
2025-08-11 13:00:00,1.34248,1.34319,1.34175,1.34302,9839
2025-08-11 14:00:00,1.34302,1.34369,1.34277,1.34355,9159
2025-08-11 15:00:00,1.34355,1.34356,1.34237,1.34274,7969
2025-08-11 16:00:00,1.34274,1.34354,1.34268,1.34311,5171
2025-08-11 17:00:00,1.34311,1.34311,1.34213,1.34272,2321
2025-08-11 18:00:00,1.34272,1.34333,1.34272,1.34328,2373
2025-08-11 19:00:00,1.34328,1.34347,1.3432,1.34333,2366
2025-08-11 20:00:00,1.34333,1.3437,1.3428,1.34297,8299
2025-08-11 21:00:00,1.34297,1.34382,1.34277,1.34312,7964
2025-08-11 22:00:00,1.34312,1.34373,1.343,1.34372,6485
2025-08-11 23:00:00,1.34372,1.34396,1.3431,1.34325,5997
2025-08-12 00:00:00,1.34325,1.34386,1.34239,1.34381,8218
2025-08-12 01:00:00,1.34381,1.34402,1.34204,1.34238,11600
2025-08-12 02:00:00,1.34238,1.34466,1.34211,1.34335,16328
2025-08-12 03:00:00,1.34334,1.34598,1.34313,1.34588,13955
2025-08-12 04:00:00,1.34588,1.34713,1.34475,1.34688,12196
2025-08-12 05:00:00,1.34688,1.34725,1.34525,1.34595,10283
2025-08-12 06:00:00,1.34595,1.34637,1.34553,1.34571,8313
2025-08-12 07:00:00,1.34571,1.34594,1.34463,1.34571,10210
2025-08-12 08:00:00,1.34571,1.35094,1.34505,1.34854,41823
2025-08-12 09:00:00,1.34854,1.34998,1.34629,1.34879,52060
2025-08-12 10:00:00,1.34879,1.34973,1.34785,1.34879,24613
2025-08-12 11:00:00,1.34879,1.35238,1.34861,1.35066,24568
2025-08-12 12:00:00,1.35066,1.35211,1.34999,1.35153,17898
2025-08-12 13:00:00,1.35153,1.35157,1.35067,1.3507,12266
2025-08-12 14:00:00,1.3507,1.35114,1.34917,1.34956,9239
2025-08-12 15:00:00,1.34956,1.34969,1.34881,1.34954,6683
2025-08-12 16:00:00,1.34954,1.34996,1.34924,1.34975,5657
2025-08-12 17:00:00,1.34975,1.35011,1.34872,1.34936,3659
2025-08-12 18:00:00,1.34936,1.35014,1.34936,1.35002,4008
2025-08-12 19:00:00,1.35002,1.35058,1.34994,1.3504,2962
2025-08-12 20:00:00,1.3504,1.35058,1.34969,1.35025,8014
2025-08-12 21:00:00,1.35025,1.35077,1.34975,1.34986,9119
2025-08-12 22:00:00,1.34986,1.35047,1.34926,1.35025,6323
2025-08-12 23:00:00,1.35025,1.35064,1.35005,1.35028,4664
2025-08-13 00:00:00,1.35028,1.35055,1.35011,1.35043,3797
2025-08-13 01:00:00,1.35043,1.35077,1.34995,1.35067,6400
2025-08-13 02:00:00,1.35067,1.35172,1.35062,1.35156,9579
2025-08-13 03:00:00,1.35156,1.35473,1.35155,1.35443,13768
2025-08-13 04:00:00,1.35443,1.35631,1.35431,1.35569,12711
2025-08-13 05:00:00,1.35569,1.35781,1.35558,1.35763,10177
2025-08-13 06:00:00,1.35763,1.35783,1.35659,1.35682,10703
2025-08-13 07:00:00,1.35682,1.35782,1.35649,1.35765,10172
2025-08-13 08:00:00,1.35765,1.35797,1.35588,1.35604,13273
2025-08-13 09:00:00,1.35604,1.35773,1.35539,1.35738,15346
2025-08-13 10:00:00,1.35738,1.35849,1.35692,1.35717,16184
2025-08-13 11:00:00,1.35717,1.35754,1.35614,1.35706,13588
2025-08-13 12:00:00,1.35706,1.3579,1.35681,1.35732,8328
2025-08-13 13:00:00,1.35732,1.35772,1.35676,1.35704,7069
2025-08-13 14:00:00,1.35704,1.35713,1.35633,1.3567,6980
2025-08-13 15:00:00,1.3567,1.35745,1.35639,1.35738,5492
2025-08-13 16:00:00,1.35738,1.35806,1.35728,1.3574,3935
2025-08-13 17:00:00,1.3574,1.3574,1.35639,1.35666,1443
2025-08-13 18:00:00,1.35666,1.35804,1.35666,1.35802,4182
