date,open,high,low,close,volume,momentum,avg_price,range,ohlc,ema_10,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,cci,williams_r,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr,target_5day_return
2008-04-29 21:00:00+00:00,1.55722,1.56444,1.55165,1.56226,37974,0.003236536905510956,1.5588925000000002,0.012790000000000079,1.5588925000000002,1.568263761546642,1.5727286024791143,1.575865263296765,1.577136724790771,1.5779089071195431,-0.004275491192037073,-0.0015503353737758093,-0.002725155818261264,17.68761123671116,19.989395546129444,29.85683987274641,42.01455381080047,21.09763372439853,16.60498224215249,-123.42993128309102,-78.90236627560148,1.601972376744137,1.5768815,1.5517906232558631,0.050181753488273806,0.20862915335517848,0.013471428571428547,-0.005786488804680356
2008-04-30 21:00:00+00:00,1.56216,1.56432,1.54308,1.54754,31838,-0.009422247257178773,1.5542749999999999,0.021239999999999926,1.5542749999999999,1.5644958049017978,1.5703296879572939,1.574754468657676,1.576550651032538,1.5776067289392492,-0.0057196915350723465,-0.002384206606035117,-0.0033354849290372296,20.5607845946903,14.56558773424197,34.54003407155013,27.167182662538707,7.577302072714772,11.771255564938931,-147.75148269706955,-92.42269792728523,1.6031922193080845,1.5751005,1.5470087806919155,0.056183438616169035,0.00945508714255768,0.013417142857142825,-0.0053891983405921495
2008-05-01 21:00:00+00:00,1.54763,1.54984,1.53608,1.5424,35149,-0.00332140041614426,1.5439875,0.013760000000000217,1.5439875,1.5604783858287437,1.567669717675647,1.573485665965218,1.5758744005170422,1.577256413228411,-0.007196034350440916,-0.0033465721549162768,-0.0038494621955246396,21.620423712892716,14.27886919022526,38.268647180961416,26.85025817555946,9.596112966899636,12.757016254670978,-165.8497081781499,-90.40388703310036,1.6051833886530362,1.5735065000000001,1.541829611346964,0.06335377730607217,0.009003230387989301,0.013416428571428551,-0.001970954356846466
2008-05-03 21:00:00+00:00,1.54175,1.54385,1.54145,1.54365,348,0.0008104253112033444,1.542675,0.0023999999999999577,1.542675,1.5574186793144265,1.5653821255160616,1.572315639848935,1.5752362935761108,1.576922021056984,-0.008170992005211763,-0.004311456124975375,-0.003859535880236389,23.340146636163134,16.18587809293911,35.18406759203373,30.321513491160985,11.494078348011042,9.555831129208483,-139.0673560184892,-88.50592165198896,1.6057938636301528,1.5716525,1.537511136369847,0.06828272726030571,0.08990360925026473,0.011835714285714267,0.003005862727949893
2008-05-04 21:00:00+00:00,1.54365,1.55192,1.5423,1.54968,22346,0.0039063259158487185,1.5468875,0.009619999999999962,1.5468875,1.5560116467118035,1.5638866849907225,1.5714279676979965,1.574730228356782,1.576650956170845,-0.008360705358605225,-0.005121305971701345,-0.00323939938690388,23.96658267032887,20.071334062014696,33.53851464074089,34.78945297127116,20.649863346492637,13.913351553801105,-101.14431879375374,-79.35013665350736,1.6061840817388482,1.5706565000000001,1.535128918261152,0.07105516347769614,0.2047857048899114,0.01241642857142855,-0.0026650663362758342
2008-05-05 21:00:00+00:00,1.54972,1.55942,1.54528,1.55322,29948,0.002284342573950715,1.55191,0.014140000000000041,1.55191,1.5555040745823847,1.5628708102297013,1.5707139297490555,1.574304283240806,1.5764178123283492,-0.00813166932085263,-0.005723378641531602,-0.0024082906793210287,24.82088770433958,17.059438123984254,33.143719526352456,29.906937394247052,26.02490130580041,19.389614333434697,-72.6403576194812,-73.97509869419959,1.6049826388110033,1.5691565,1.5333303611889968,0.07165227762200654,0.2775855767757835,0.012305714285714269,0.0013391535004698696
2008-05-06 21:00:00+00:00,1.55324,1.55392,1.53668,1.5392,33107,-0.009026409652206469,1.54576,0.017239999999999922,1.54576,1.5525396973855874,1.560616447350682,1.5694780893667397,1.573609148919206,1.57604748583752,-0.008977961093885822,-0.006374295132002446,-0.0026036659618833766,26.461658230779594,12.973573433115163,38.41206735266599,20.22650506656076,4.853764779091485,17.176176477128177,-103.27446715215424,-95.14623522090851,1.6050596311828376,1.5671694999999999,1.5292793688171622,0.07578026236567537,0.13091312794571752,0.012217142857142847,0.0053404365904365925
2008-05-07 21:00:00+00:00,1.5392,1.54422,1.52852,1.53936,37650,0.00010395010395014559,1.537825,0.015699999999999825,1.537825,1.550143388770026,1.5585920237934743,1.568296987822946,1.5729309479505087,1.5756824362271966,-0.009525933724109592,-0.007004622850423875,-0.0025213108736857172,27.32930618158446,12.869736689479302,42.83725785871709,22.639011473963166,17.70663181966676,16.19509930151955,-120.31645495281253,-82.29336818033323,1.601899365372309,1.5644005,1.5269016346276911,0.07499773074461791,0.16611656444289133,0.012315714285714255,0.005209957384887165
2008-05-08 21:00:00+00:00,1.53936,1.54894,1.53924,1.54829,30532,0.00580111215050394,1.5439574999999999,0.009700000000000042,1.5439574999999999,1.5498064089936576,1.5576108786702862,1.5675124000651834,1.5724430083871324,1.5754098746726972,-0.009134334688255086,-0.007430565217990117,-0.0017037694702649684,29.217775709948228,17.223502304147633,33.07731694828472,37.36835426976275,46.84834123222735,23.136245943661862,-79.47249777928197,-53.15165876777266,1.5982576263349118,1.562274,1.5262903736650881,0.07196725266982362,0.3056894006478646,0.011159999999999979,-0.0022799346375679264
2008-05-10 21:00:00+00:00,1.54859,1.54859,1.5449,1.54555,544,-0.0017696943079138494,1.5469075,0.003689999999999971,1.5469075,1.5490325164493561,1.5564622235588306,1.566651129474392,1.571910473567585,1.5751127614918745,-0.008942006843203787,-0.007732853543032851,-0.001209153300170936,30.146917020129887,18.58810527042912,29.964771706845355,38.56226266858715,41.74019607843113,35.43172304344174,-69.15700614642464,-58.259803921568874,1.5959665253224804,1.5604655,1.5249644746775197,0.07100205064496068,0.28992860256130226,0.010340714285714274,0.007841868590469536
