min_atr_pct,atr_percentile,final_equity,total_trades,skipped_trades,return_pct
0.5848450388297004,20,3303.521668666722,795,190,230.35216686667218
0.5520926929534558,15,3275.8286898242586,842,143,227.58286898242585
0.0,0,3244.1871229639755,984,0,224.41871229639756
0.49655707838915203,10,3240.065419165329,890,95,224.00654191653288
0.6105073895487778,25,3190.3965950590473,745,240,219.03965950590472
0.6334702592213641,30,3141.9081884132133,696,289,214.19081884132135
0.6524693281000636,35,2946.8667614052624,647,338,194.68667614052623
0.670958526232229,40,2695.511496073226,597,388,169.55114960732263
0.6890533061438191,45,2610.5374202524035,547,438,161.05374202524035
0.7129385567547841,50,2493.9885714184156,497,488,149.39885714184157
