Year,Return (%),Trades,Win Rate (%),Avg Win (%),Avg Loss (%),Sharpe,Max DD (%),End Equity
2022,46.47638621917017,245,31.428571428571427,0.9300473792767497,-0.19619918192816524,4.0444274661568596,-4.290599435829722,1464.7638621917017
2023,37.685475188748704,259,39.768339768339764,0.6104339252049631,-0.19598324199589426,4.147613379143959,-3.4348104114521654,2016.7670840517128
2024,9.549123648076591,250,36.8,0.4327411363916166,-0.19321093865398298,1.623239438196148,-4.908144629672043,2209.3506666015196
2025,41.63465534396427,227,43.17180616740088,0.618595916948233,-0.19742862140099268,4.3790228372915925,-2.291585628128358,3129.2062019806394
