Year,Return (%),Trades,Win Rate (%),Avg Win (%),Avg Loss (%),Sharpe,Max DD (%),End Equity
2022,53.92595202892683,239,28.451882845188287,1.1427761778058299,-0.1985390631876139,4.0095715206572775,-3.5414287312607082,1539.2595202892683
2023,42.85502885810781,253,34.78260869565217,0.7848491829444474,-0.19982216954938833,3.994603115820608,-3.1736087226417973,2198.909631910406
2024,29.791878157174768,253,37.15415019762846,0.6148263923709748,-0.19759322673066904,3.472280058850594,-4.385185673901984,2854.0061102355344
2025,3.760380292433075,222,27.47747747747748,0.5838453364753521,-0.1972461737871216,0.6675686818253321,-7.16227468575264,2961.327593549667
