,EURUSD,EURUSD_pnl,GBPUSD,GBPUSD_pnl,AUDUSD,AUDUSD_pnl,USDJPY,USDJPY_pnl,win_count,has_any_win,daily_pnl
2022-01-20,False,-0.5000000000000073,False,-0.49999999999999395,False,-0.500000000000023,True,1.3538064583843454,1,True,-0.146193541615679
2022-01-24,False,-0.5000000000000192,False,-0.49999999999999567,False,-0.500000000000001,False,-0.5000000000000188,0,False,-2.0000000000000346
2022-01-25,False,-0.49999999999999883,False,-0.49999999999998723,False,-0.5000000000000122,False,-0.500000000000014,0,False,-2.0000000000000124
2022-01-26,False,-0.5000000000000234,False,-0.49999999999998723,False,-0.5000000000000058,False,-0.50000000000001,0,False,-2.0000000000000266
2022-01-27,False,-0.49999999999998723,False,-0.5000000000000142,True,4.145597784836797,False,-0.5000000000000148,1,True,2.645597784836781
2022-01-30,False,-0.5000000000000155,False,-0.500000000000022,False,-0.5000000000000113,False,-0.5000000000000142,0,False,-2.000000000000063
2022-01-31,False,-0.5000000000000145,False,-0.5000000000000088,False,-0.49999999999999317,True,1.2683458229253488,1,True,-0.23165417707466762
2022-02-01,False,-0.5000000000000295,False,-0.499999999999991,False,-0.49999999999999317,False,-0.5000000000000115,0,False,-2.000000000000025
2022-02-02,False,-0.4999999999999853,False,-0.5000000000000165,False,-0.5000000000000177,False,-0.5000000000000127,0,False,-2.000000000000032
2022-02-03,True,3.171769164772369,False,-0.5000000000000038,False,-0.49999999999999023,False,-0.5000000000000158,1,True,1.671769164772359
2022-02-07,False,-0.49999999999998773,False,-0.5000000000000195,False,-0.5000000000000098,False,-0.49999999999999656,0,False,-2.0000000000000138
2022-02-08,False,-0.49999999999999944,False,-0.08139705828032825,False,-0.5000000000000092,False,-0.5000000000000115,0,False,-1.5813970582803485
2022-02-09,False,-0.49999999999998745,True,0.26378281799116476,False,-0.5000000000000226,False,-0.5000000000000042,1,True,-1.2362171820088497
2022-02-10,False,-0.5000000000000278,False,-0.4999999999999895,True,1.6284833753534724,False,-0.500000000000009,1,True,0.12848337535344612
2022-02-13,False,-0.5000000000000052,True,0.40546073449035824,True,1.348498967691559,False,-0.4999999999999925,2,True,0.7539597021819198
2022-02-16,False,-0.4999999999999835,False,-0.5000000000000115,False,-0.5000000000000066,True,1.450657348463886,1,True,-0.04934265153611572
2022-02-17,False,-0.5000000000000002,False,-0.5000000000000216,False,-0.5000000000000118,True,0.8548402459087197,1,True,-0.6451597540913139
2022-02-20,False,-0.500000000000024,True,0.236425628483928,False,-0.5000000000000042,True,0.5217888512044331,2,True,-0.2417855203116671
2022-02-21,False,-0.4999999999999868,True,0.13938140311396074,False,-0.500000000000004,False,-0.0912889093643055,1,True,-0.9519075062503355
2022-02-22,False,-0.25329155544556897,False,-0.499999999999986,False,-0.500000000000008,False,-0.49999999999999045,0,False,-1.7532915554455535
2022-02-23,False,-0.5000000000000155,False,-0.4999999999999977,False,-0.49999999999999123,False,-0.5000000000000026,0,False,-2.000000000000007
